,United States of America (the),Argentina,Canada,Chile,China,Denmark,France,India,Ireland,Israel,Italy,Japan,Korea (the Republic of),Mexico,Netherlands (the),South Africa,Switzerland,United Kingdom of Great Britain and Northern Ireland (the),Bermuda,Cayman Islands (the),Hong Kong,Indonesia,Macao,Malaysia,Pakistan,Philippines (the),Singapore,Taiwan (Province of China),Thailand,Australia,Austria,Belgium,Brazil,Colombia,Cyprus,Czechia,Egypt,Finland,Germany,Greece,Hungary,Isle of Man,Kuwait,Luxembourg,New Zealand,Norway,Poland,Portugal,Qatar,Russian Federation (the),Saudi Arabia,Spain,Sweden,Turkey,United Arab Emirates (the),Jersey,Papua New Guinea,Peru,Kenya,Morocco,Nigeria,Zimbabwe,Puerto Rico,Uruguay,Azerbaijan,Faroe Islands (the),Guernsey,Malta,Bahamas (the),Monaco,Panama,Cambodia,Virgin Islands (U.S.),Gibraltar,Ukraine,Liechtenstein,Bahrain,Bangladesh,Jordan,Kazakhstan,Oman,Romania,Sri Lanka,Viet Nam,Georgia,Iran (Islamic Republic of),Croatia,Estonia,Lithuania,Mauritius,Virgin Islands (British),﻿Afghanistan,Togo,Marshall Islands (the),Costa Rica
AAA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAAU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AADR,0.0,0.05389999866485596,0.018400000333786012,0.023499999046325683,0.18290000915527344,0.04699999809265137,0.0352999997138977,0.05179999828338623,0.09210000038146973,0.0690999984741211,0.02200000047683716,0.024200000762939454,0.022699999809265136,0.021700000762939452,0.14359999656677247,0.08369999885559082,0.05190000057220459,0.05179999828338623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAXJ,0.008999999761581421,0.0,0.0,0.0,0.4141999816894531,0.0,0.0,0.10399999618530273,0.0,0.0,0.0,0.0,0.14850000381469727,0.0,0.0,0.0,0.0,0.0,0.0007000000029802323,0.0005000000074505806,0.09859999656677246,0.016100000143051147,0.0020999999344348905,0.017999999523162842,0.00019999999552965163,0.008799999952316284,0.024500000476837158,0.14140000343322753,0.021700000762939452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABEQ,0.5952999877929688,0.0,0.14159999847412108,0.0,0.0,0.0,0.0,0.0,0.02309999942779541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03930000066757202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACES,0.7838999938964843,0.0,0.17059999465942383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0453000020980835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACIO,0.9491000366210938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03559999942779541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004900000095367432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACSG,0.007900000214576722,0.0,0.07400000095367432,0.001899999976158142,0.11149999618530274,0.022899999618530273,0.060900001525878905,0.03160000085830689,0.0056999999284744265,0.001599999964237213,0.010499999523162842,0.16010000228881835,0.019800000190734864,0.0036000001430511477,0.03650000095367432,0.0175,0.0528000020980835,0.07309999942779541,0.0,0.0,0.017000000476837158,0.005199999809265137,0.0,0.006899999976158142,0.0,0.0030000001192092896,0.008299999833106995,0.05760000228881836,0.007799999713897705,0.04309999942779541,0.0015000000596046448,0.004199999868869781,0.012899999618530273,0.0005999999865889549,0.00029999999329447744,9.999999776482581e-05,0.00039999999105930326,0.005899999737739563,0.05739999771118164,0.00019999999552965163,0.0012999999523162842,0.00019999999552965163,0.0,0.0015000000596046448,0.0030000001192092896,0.003100000023841858,0.0025999999046325685,0.0007999999821186065,0.0023000000417232516,0.006100000143051148,0.0036000001430511477,0.016100000143051147,0.01940000057220459,0.00039999999105930326,0.002800000011920929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACSI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTV,0.8745999908447266,0.0,0.026099998950958252,0.0,0.0,0.0,0.0,0.0,0.025799999237060545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026500000953674316,0.0,0.024500000476837158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
