,Diversified Consumer Services,"Hotels, Restaurants & Leisure",IT Services,Internet & Direct Marketing Retail,Life Sciences Tools & Services,Other,Professional Services,Semiconductors & Semiconductor Equipment,"Technology Hardware, Storage & Peripherals",Aerospace & Defense,Air Freight & Logistics,Airlines,Auto Components,Automobiles,Banks,Beverages,Biotechnology,Building Products,Capital Markets,Chemicals,Commercial Services & Supplies,Communications Equipment,Construction & Engineering,Construction Materials,Consumer Finance,Containers & Packaging,Distributors,Diversified Financial Services,Diversified Telecommunication Services,Electric Utilities,Electrical Equipment,"Electronic Equipment, Instruments & Components",Energy Equipment & Services,Entertainment,Equity Real Estate Investment Trusts (REITs),Food & Staples Retailing,Food Products,Gas Utilities,Health Care Equipment & Supplies,Health Care Providers & Services,Health Care Technology,Household Durables,Household Products,Independent Power and Renewable Electricity Producers,Industrial Conglomerates,Insurance,Interactive Media & Services,Leisure Products,Machinery,Marine,Media,Metals & Mining,Multiline Retail,"Oil, Gas & Consumable Fuels",Paper & Forest Products,Personal Products,Pharmaceuticals,Real Estate Management & Development,Road & Rail,Software,Specialty Retail,"Textiles, Apparel & Luxury Goods",Thrifts & Mortgage Finance,Tobacco,Trading Companies & Distributors,Transportation Infrastructure,Water Utilities,Wireless Telecommunication Services,Multi-Utilities,"Mortgage Real Estate Investment 
Trusts (REITs)"
AAA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAAU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AADR,0.06170000076293945,0.024100000858306884,0.02940000057220459,0.07739999771118164,0.02700000047683716,0.6840000152587891,0.018400000333786012,0.043600001335144044,0.030199999809265136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAXJ,0.008799999952316284,0.010099999904632569,0.020399999618530274,0.105,0.008299999833106995,0.11390000343322754,0.00039999999105930326,0.09569999694824219,0.06429999828338623,0.001599999964237213,0.0025999999046325685,0.001599999964237213,0.0062999999523162846,0.025099999904632568,0.06670000076293946,0.010099999904632569,0.009399999976158141,0.00039999999105930326,0.01559999942779541,0.018400000333786012,0.0025999999046325685,0.0020999999344348905,0.005600000023841858,0.0070999997854232786,0.0036000001430511477,9.999999776482581e-05,9.999999776482581e-05,0.0030000001192092896,0.010199999809265137,0.006700000166893006,0.003199999928474426,0.028399999141693114,0.0005999999865889549,0.01190000057220459,0.0062999999523162846,0.003199999928474426,0.019199999570846556,0.008399999737739562,0.004000000059604645,0.004300000071525574,0.0028999999165534975,0.0036000001430511477,0.0044999998807907105,0.0037000000476837156,0.015399999618530273,0.034500000476837156,0.08069999694824219,0.0011999999731779098,0.00800000011920929,0.0010999999940395355,0.0012999999523162842,0.007699999809265137,0.0005999999865889549,0.020399999618530274,0.0009000000357627869,0.005899999737739563,0.014600000381469726,0.03140000104904175,0.0018000000715255738,0.0033000001311302186,0.003499999940395355,0.009800000190734863,0.008299999833106995,0.003199999928474426,0.00029999999329447744,0.0030000001192092896,0.0010000000149011613,0.011100000143051148,0.0,0.0
ABEQ,0.010800000429153443,0.020899999141693115,0.0,0.0,0.0,0.1184000015258789,0.0,0.0,0.0,0.0,0.011299999952316285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08710000038146973,0.0,0.02869999885559082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029700000286102295,0.0,0.03119999885559082,0.0,0.02309999942779541,0.0125,0.03069999933242798,0.0,0.0,0.0,0.0,0.09539999961853027,0.0,0.0,0.0,0.0,0.021700000762939452,0.09789999961853027,0.0,0.04369999885559082,0.0,0.0,0.03410000085830688,0.01899999976158142,0.0,0.015099999904632568,0.014299999475479126,0.0,0.0,0.0,0.03359999895095825,0.0,0.0,0.0,0.020099999904632567,0.0
ACES,0.0,0.0,0.0,0.0,0.0,0.025799999237060545,0.004699999988079071,0.2240999984741211,0.0,0.0,0.0,0.0,0.022699999809265136,0.05820000171661377,0.0,0.0,0.0,0.0,0.0,0.0,0.015199999809265136,0.0,0.012799999713897704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22149999618530272,0.034000000953674316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27540000915527346,0.0,0.0,0.0,0.0,0.005299999713897705,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0037000000476837156,0.008799999952316284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04389999866485596
ACIO,0.0,0.018300000429153442,0.11989999771118164,0.04630000114440918,0.01659999966621399,0.050399999618530276,0.011699999570846558,0.046100001335144046,0.06880000114440918,0.029600000381469725,0.0,0.0,0.0,0.0,0.02799999952316284,0.02119999885559082,0.016299999952316284,0.0,0.03589999914169312,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016200000047683717,0.01909999966621399,0.0,0.0,0.0,0.0,0.020899999141693115,0.03319999933242798,0.0,0.0,0.03650000095367432,0.019199999570846556,0.0,0.0,0.011799999475479127,0.0,0.0,0.02809999942779541,0.022200000286102296,0.0,0.01559999942779541,0.0,0.021300001144409178,0.0,0.03460000038146973,0.01990000009536743,0.0,0.0,0.04949999809265137,0.0,0.010199999809265137,0.055199999809265134,0.018300000429153442,0.0,0.0,0.0,0.01600000023841858,0.0,0.012699999809265138,0.0,0.0,0.0
ACSG,0.0,0.007200000286102295,0.023900001049041747,0.06150000095367432,0.00699999988079071,0.030299999713897706,0.012999999523162841,0.059499998092651364,0.003199999928474426,0.0015000000596046448,0.0005999999865889549,0.0007000000029802323,0.008100000023841859,0.013799999952316283,0.09260000228881836,0.0037000000476837156,0.0020000000298023225,0.009399999976158141,0.018600000143051146,0.04809999942779541,0.0056999999284744265,0.0005999999865889549,0.004900000095367432,0.004600000083446503,0.0,0.0,0.0,0.005199999809265137,0.014800000190734863,0.020399999618530274,0.014800000190734863,0.021300001144409178,0.0005000000074505806,0.006800000071525574,0.012000000476837159,0.018799999952316283,0.015399999618530273,0.006000000238418579,0.016799999475479124,0.0020999999344348905,0.0014000000059604645,0.017000000476837158,0.011799999475479127,0.00039999999105930326,0.013799999952316283,0.04619999885559082,0.03650000095367432,0.0007999999821186065,0.016299999952316284,0.0017000000178813935,0.004799999892711639,0.020099999904632567,0.0036000001430511477,0.03700000047683716,0.0044999998807907105,0.02809999942779541,0.05989999771118164,0.01309999942779541,0.014600000381469726,0.014900000095367431,0.011799999475479127,0.018600000143051146,0.004399999976158142,0.0,0.003499999940395355,0.004699999988079071,0.00019999999552965163,0.009200000166893006,0.003799999952316284,0.0
ACSI,0.0,0.06429999828338623,0.0,0.1331999969482422,0.0,0.06769999980926514,0.0,0.0,0.07639999866485596,0.0,0.03930000066757202,0.04300000190734863,0.0,0.0,0.014099999666213989,0.035499999523162844,0.0,0.0,0.04860000133514404,0.0,0.0,0.0,0.0,0.0,0.014299999475479126,0.0,0.0,0.0,0.05389999866485596,0.012100000381469727,0.0,0.0,0.0,0.050199999809265136,0.0,0.05150000095367432,0.0352999997138977,0.012100000381469727,0.0,0.06829999923706055,0.0,0.0,0.01600000023841858,0.0,0.0,0.027799999713897704,0.024500000476837158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012000000476837159,0.044699997901916505,0.01350000023841858,0.0,0.0,0.0,0.0,0.0,0.027200000286102297,0.0125,0.0
ACTV,0.0,0.07809999942779541,0.07739999771118164,0.0,0.0,0.0,0.029700000286102295,0.0,0.05050000190734863,0.0,0.0,0.0,0.02119999885559082,0.0,0.0,0.0,0.02430000066757202,0.0,0.07679999828338623,0.023499999046325683,0.0,0.0,0.0,0.0,0.0525,0.0,0.024200000762939454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024500000476837158,0.0,0.023499999046325683,0.052300000190734865,0.025499999523162842,0.023299999237060547,0.0,0.0,0.0,0.0,0.0,0.0,0.08140000343322754,0.0,0.0,0.0,0.0,0.07980000019073487,0.0,0.024500000476837158,0.028499999046325684,0.02630000114440918,0.0,0.10569999694824218,0.024000000953674317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
