,avgVolume
AAA,1433.578
AAAU,502119.9
AADR,6614.689
AAXJ,1211751.0
ABEQ,7930.022
ACES,183821.8
ACIO,37582.02
ACSG,556.6222
ACSI,1233.978
ACTV,6732.689
ACVF,4434.245
ACWF,16917.07
ACWI,3416480.0
ACWV,382712.9
ACWX,1228145.0
ADFI,2602.556
ADME,35273.09
ADRE,28436.38
AESR,20439.91
AFIF,98912.11
AFK,25406.89
AFLG,1881.622
AFMC,203.2444
AFSM,540.2222
AFTY,7045.267
AGG,5421737.0
AGGY,168211.2
AGQ,1539899.0
AGT,5021.355
AGZ,68778.84
AGZD,20111.8
AIA,301679.7
AIEQ,57138.27
AIIQ,4154.2
AIQ,56957.73
AIRR,30973.07
ALFA,3423.4
ALTL,12138.33
ALTS,1774.689
ALTY,18692.36
AMCA,546.9111
AMER,4386.533
AMLP,3120821.0
AMOM,2811.667
AMZA,136223.0
ANEW,12546.6
ANGL,2187256.0
AOA,71496.05
AOK,171203.4
AOM,196371.1
AOR,118799.8
ARB,3436.222
ARCM,137.8667
ARGT,16735.87
ARKF,3222977.0
ARKG,6313791.0
ARKK,8857090.0
ARKQ,1645264.0
ARKW,1818239.0
ARMR,2598.467
ASEA,29440.91
ASET,1131.2
ASHR,2985620.0
ASHS,13876.91
ASHX,1122.289
ASPY,0.0
AUGZ,1464.533
AUSF,11960.87
AVDE,44859.33
AVDG,1076.513
AVDR,1617.053
AVDV,44808.0
AVEM,74167.78
AVIG,2598.378
AVMU,3326.444
AVSF,1620.711
AVUS,60457.73
AVUV,81012.42
AWAY,256128.1
AWTM,1850.6
AZAA,1348.4
AZAJ,53588.11
AZAL,3921.911
AZAO,9272.688
AZBA,458.7333
AZBJ,48616.62
AZBL,483.5111
AZBO,1106.822
BAB,417279.5
BAPR,11408.62
BAR,469088.6
BATT,347472.6
BAUG,9789.155
BBAX,1600890.0
BBC,11242.71
BBCA,286421.9
BBEU,1334838.0
BBH,14011.53
BBIN,136326.2
BBJP,1883674.0
BBMC,31264.6
